triplet_id,TGT_item,OTH_item,X_item,speaker_TGT,speaker_OTH,speaker_X,language_TGT,language_OTH,language_X,TGT_first,dataset
triplet_FR164,1s_french/15260_sliced_2459.wav,1s_french/12692_sliced_274.wav,1s_french/5772_sliced_303.wav,M01_O,M01_O,M07_N,FR,FR,FR,False,zerospeech
FR_TRIP82056_1,FR3528.wav,FR3951.wav,FR3256.wav,FR-participant5,FR-participant5,FR-participant7,FR,FR,FR,True,WorldVowels
GL_TRIP263_0,GLO64.wav,GLO123.wav,GLO53.wav,S03M,S03M,S07F,GL,GL,GL,False,WorldVowels
triplet_FR1509,1s_french/2196_sliced_404.wav,1s_french/1167_sliced_222.wav,1s_french/17306_sliced_106.wav,M04_O,M04_O,F02_N,FR,FR,FR,True,zerospeech
triplet_00000076042,TRAIN/DR2/FCAJ0/SX309_sliced_150.wav,TRAIN/DR2/FCAJ0/SX219_sliced_318.wav,TRAIN/DR7/MGSL0/SX264_sliced_486.wav,FCAJ0,FCAJ0,MGSL0,EN_DR2,EN_DR2,EN_DR7,False,pilot-july-2018
TU_TRIP1730_0,TU80.wav,TU77.wav,TU48.wav,TU-participant4,TU-participant4,TU-participant2,TU,TU,TU,False,WorldVowels
triplet_FR2697,1s_french/12661_sliced_9037.wav,1s_french/4470_sliced_1904.wav,1s_french/19357_sliced_1932.wav,F06_O,F06_O,F03_O,FR,FR,FR,True,zerospeech
triplet_EN1940,1s_english/5252_sliced_10162.wav,1s_english/10731_sliced_10161.wav,1s_english/10384_sliced_10164.wav,8824,8824,8193,EN,EN,EN,False,zerospeech
triplet_FR1162,1s_french/116_sliced_337.wav,1s_french/10557_sliced_265.wav,1s_french/5376_sliced_336.wav,F02_N,F02_N,M01_O,FR,FR,FR,False,zerospeech
FR_TRIP84370_1,FR3845.wav,FR3596.wav,FR2058.wav,FR-participant5,FR-participant5,FR-participant3,FR,FR,FR,True,WorldVowels
triplet_FR1328,1s_french/2123_sliced_200.wav,1s_french/4496_sliced_526.wav,1s_french/17354_sliced_614.wav,M10_N,M10_N,F02_N,FR,FR,FR,False,zerospeech
